id,movie_name,synopsis,genre,prediction,accuracy,evaluation
11066,Max Rules,"Three best friends spy on their families, sneak into each other's house, and organize elaborate pranks.",adventure,comedy,0,
33941,The Wind in the Willows,"Accounts the friendship of four friends (Rat, Mole, Badger, and Toad) whose adventures test the very fiber of their loyalty.",family,adventure,0,
77664,The Lost Isle.,"Set in the same universe as the Novel, a group of mercenaries are sent to an island where a new type of animal is reported to inhabit. What they find is worse than they could imagine.",scifi,horror,0,
65255,Kings Sole,"Los Angeles California is home to the countries most elite and prestigious businessmen, socialites, celebrities, and even the United States most notorious narcotic King Pin.",romance,crime,0,
72283,Shinkaijû Reigô,A giant sea monster wreaks havoc on a battleship after one of it's young is killed by the ship,scifi,horror,0,
18077,The Fiction-Makers,"The Saint's asked to act as a bodyguard to the best-selling adventure author Amos Klein, a young woman who uses a male pen-name.",crime,Thriller,0,
42755,Big Man on Campus,"In this version of ""The Hunchback of Notre Dame"", a hunchback is found living in the bell tower of UCLA. He is put on trial and made to go through tests. One of the research doctors falls for him, and he falls for her in the end.",fantasy,romance,0,
29087,Tough Cookies,"A lazy, deadbeat dad is issued a court order to form a Girl Scout troop with his rebellious daughter. Together they use unconventional methods to beat a rival troop at the National Scout Rally.",family,family,1,
66160,"Now, We're Going to Geneva",A mildly tragic story of how the Vietnam war has bad and good ramifications on the characters lives.,romance,drama,0,
38041,Kirk,"Atop Doon hill, in Aberfoyle, Scotland, stands such a tree, where history tells us that in 1692, the Reverend Robert Kirk, the seventh son of a seventh son, a scholar and minister of religion, predicted his own fate.",fantasy,mystery,0,
17422,The Fatal Flying Guillotines,A fighter confronts a rogue master armed with weapons capable of severing a head from 100 feet away.,adventure,action,0,
33789,The Willoughbys,"Convinced they'd be better off raising themselves, the Willoughby children hatch a sneaky plan to send their selfish parents on vacation. The siblings then embark on their own high-flying adventure to find the true meaning of family.",family,family,1,
28341,Camp Christmas,6 kids take the adventure of a lifetime and must learn to work together to save Christmas.,family,family,1,
13676,Agent Crush,"To fight crime, a new hero is created, but there are a few small glitches to iron out.",adventure,action,0,
54391,Até Onde?,"Um casal de jovens e a sua melhor amiga aventuram-se na estrada tendo como destino um festival de verão. Perdidos e recém-chegados a uma aldeia, à busca de informações sobre que direcção ...                See full synopsis »",mystery,adventure,0,
21755,Going Places,"Two thugs harass assault, steal, murder, Marie-Ange, a jaded, passive hairdresser, joins them as lover, cook, and mother confessor, on her own search for seemingly unattainable sexual pleasure.",crime,crime,1,
54872,Red Raincoats,Delilah and Veronika meet while painting an old house owned by a mysterious woman. They slowly get to know each other as the house reveals its own secrets and transports them to places drawn from their imaginations and troubled pasts.,mystery,Fantasy,0,
21567,The Carpet of Horror,An evil genius uses poison gas to avenge himself on his enemies.,crime,crime,1,
85015,The Plantation,An interracial couple takes a backpacking trip deep into the remote Louisiana swamps where they encounter sinister forces at an old plantation hell bent on turning the past into the present.,thriller,horror,0,
62528,Cellofan - med døden til følge,"Marianne is a successful journalist in a big newspaper. When her father takes ill, and asks her back home to find a box in the attic containing papers he wants her to burn before reading. But she reads, and then tries to solve the mystery.",mystery,mystery,1,
72332,Hades Proper,"After an onslaught of simultaneous, worldwide earthquakes ravages the Earth, a team is sent to explore a crevice in Russia that may go down farther than man has ever been able to go.",scifi,scifi,1,
54074,Sherlock Holmes and the Deadly Necklace,"Sherlock Holmes and Watson do battle with their nemesis, Professor Moriarity, over an ancient necklace attributed to Cleopatra.",mystery,mystery,1,
31791,Pohádka svatojánské noci,"From a Wallachian folk tale, a clever military veteran gives his home to a tricky man trained to oppress the inhabitants of the village.",family,Fantasy,0,
1175,The Pastor,"In a forgotten part of town, overrun by a ruthless gang; a community struggles with its faith, as they see their neighborhoods torn-apart and their youth targeted for gang recruitment. But all that is about to change.",action,crime,0,
34647,A Christmas Carol,"When the miserly Ebeneezer Scrooge receives ghostly visitations one fateful Christmas Eve, he is shown the error of his ways.",family,family,1,
25066,Devil's Peak,"Set in North Carolina's Appalachian Mountains, eighteen-year-old Jacob McNeely is torn between appeasing his meth-dealing kingpin father and leaving the mountains forever with the girl he loves.",crime,crime,1,
51390,I Live Alone,Sixteen year old Parker has to go stay with her reclusive Aunt Len while her Mother's in the hospital. Parker quickly realizes her Aunt is living in solitude for a very dark and horrific reason.,horror,horror,1,
38599,Cardcaptor Sakura: The Sealed Card,"Sakura Kinomoto, mistress of the Clow Cards, faces not only the wrath of an unsealed Clow Card, but her own feelings for friend Syaoran Li who returns from Hong Kong for a visit.",fantasy,romance,0,
36394,Felix the Cat: The Movie,"In another dimension, the villainous scientist Duke of Zill, with the help of his mechanical, geometric army, takes over the Land of Oriana, prompting Felix the Cat to save its princess and restore order once again.",fantasy,adventure,0,
52093,Helak: Kayip Köy,A family fled to an abandoned village after murdering their father to inherit his proprietary wealth so to cure their tongue-tied son but as they get there they found what they did not expect.,horror,Horror,1,
29867,Hollywood Stargirl,"Stargirl Caraway as she journeys out of Mica into a bigger world of music, dreams and possibility.",family,adventure,0,
4705,Bold Native,"Charlie Cranehill, an animal liberator wanted for domestic terrorism, emerges from the underground to coordinate a nationwide action as his estranged CEO father tries to find him before the FBI does.",action,thriller,0,
22357,The Wreck of the Mary Deare,"A disgraced merchant marine officer elects to stay aboard his sinking cargo ship in order to prove the vessel was deliberately scuttled and, as a result, vindicate his good name.",crime,Thriller,0,
85837,Keith,Plot undisclosed.,thriller,N/A (unable to predict genre without plot information),0,
29060,The Imagination of Crumbs,A teenage boy with Autism uses his imagination to cope with everyday life.,family,Family.,1,
3720,Polis Evo 3,"Follows Inspector Khai, as he becomes desperate after an old grudge returns to haunt him threatening public with mysterious bombings.",action,crime,0,
61458,King of Thorn,A virus begins to grip the Earth's population and a group of hopeful survivors are cryogenically frozen in attempt to find a cure. But when the group awakens they are flung into a horrifying situation.,mystery,horror,0,
32,The Hidden Dove,"The Flying Dove organization pits the United States and Russia against each other in hopes that the two sides will go to war. Meanwhile, the CIA has assigned Ben Dalton to oversee a defection from the Flying Dove terrorist group.",action,Thriller,0,
5247,Axe Giant: The Wrath of Paul Bunyan,"Young adults at a first-time offenders' boot camp discover the legend of the giant lumberjack Paul Bunyan is real, but is much more horrifying than they could have imagined.",action,horror,0,
4123,The Desert Song,"The Desert Song is a 1929 American Pre-Code operetta film directed by Roy Del Ruth and starring John Boles, Louise Fazenda, and Myrna Loy.",action,musical,0,
75699,Time Burst: The Final Alliance,Several different factions compete in the search for ancient Japanese tablets that have the secret of immortality.,scifi,adventure,0,
27144,Dating Daisy,Two passionate twenty-somethings in an on-again / off-again relationship decide to road trip home together for the holidays.,family,romance,0,
76174,Woman Plus Tree,"An unfulfilled artist, his schizophrenic wife and a teenage son suffering from prosopagnosia - in other words, a dysfunctional family of eccentrics in 1930s Europe comes together to overcome a common threat; a serial killer.",scifi,crime,0,
11549,Hanna Foster and the Guardians of Eden,A young woman evades a fedora-clad foe while smuggling a box of mysterious rocks on a train through the Alps. Her adventure gets complicated when one of the rocks begins to hatch.,adventure,adventure,1,
77723,Blank,"A desperate writer signs up for a fully A.I. operated retreat to cure her writer's block, but when an unforeseen software glitch occurs, she gets trapped inside her unit with an unstable android and no communication with the outside world.",scifi,scifi,1,
43271,Povestea dragostei,"The charmed pig from Creanga's ""Pig Story"" is actually a handsome extraterrestrial armored in an anti-pollution suit",fantasy,scifi,0,
31336,Manden på Svanegården,"Henrik used to spend summers on Svanegården as kid. He's back on his own airplane after working in Australia, to meet cute Lisbeth and just in time to help save his vacation ""dad's"" farm from an evil criminal.",family,adventure,0,
5998,World: Out of This World,Jordan and Harrison travel to space to get a key to Metruplus' mansion.,action,scifi,0,
85400,Dear Dead Delilah,"A sickly matriarch of a dysfunctional family living in an old Southern mansion teases her siblings about finding a long lost treasure hidden in the premises, little did she know that there is someone ready to kill to get their hands on it.",thriller,crime,0,
20374,Boyz n the Hood,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",crime,drama,0,
68797,L.A. Love in 2020,Ryan does everything in his power to fly back to his girlfriend Sara in Los Angeles when the pandemic is declared and airports in Italy are shut down. Based on real events.,romance,romance,1,
55707,Extramarital,An aspiring writer (Traci Lords) gets involved in the investigation of her best friend after she is killed during a torrid affair.,mystery,mystery,1,
26368,The Stranger Comes to Texas,"A young man flees the Italian mafia life he was raised in. With the help of his mother in Italy and relatives in America, he creates a new identity, and arrives as a mysterious stranger in a little Texas town.",crime,crime,1,
36644,Eve Angelic,A damaged young woman embarks on a journey into a world of supernatural and dark forces to unlock the secrets of her past.,fantasy,horror,0,
40732,Make Me Up,"Siri wakes to find herself trapped inside a brutalist candy-coloured dreamhouse, where she and her fellow inmates are forced to go head-to-head in a series of demeaning tasks.",fantasy,Horror.,0,
9845,Zejscie do piekla,"Two European travelers discover a Nazi-ruled colony, hidden somewhere in the Amazon rainforest.",adventure,adventure,1,
77771,Doctor Who: The Final Adventure,The Doctor arrives on Earth to discover the Daleks in a new masterplan.,scifi,scifi,1,
17473,Savage Land,Two women and some children travel across the mid-west. The elements are rough but then things get worse when they are pursued by two outlaws.,adventure,Western,0,
67910,Mâmeido ~ umi kara kita shôjo ~,A man who lives at the beach in despair after losing his wife finds a naked young woman washed up on the waves one day.,romance,romance,1,
63339,Supplementary,A man is driven to the point of committing suicide after his girlfriend dies after she is bitten by a snake. It takes a couple of more hard-hitting lessons before he learns the true value of life.,romance,drama,0,
84994,Bad Blood,The lives of married Atlanta couple Veronica and Harry are turned upside down when Veronica's estranged sister shows up unannounced on her birthday.,thriller,romance,0,
32565,Bear with Me,The family of eleven-year-old Emily (Kaitlyn Burke) searches desperately for her after she becomes lost in the Great Bear Rain Forest.,family,Family.,1,
26934,A Crime,"Vincent's life is on hold until he finds his wife's killer. Alice, his neighbor, is convinced she can make him happy. She decides to invent a culprit, so that Vincent can find revenge and leave the past behind. But there is no ideal culprit and no perfect crime.",crime,Mystery.,0,
15871,The Boy Who Stole the World,A sci-fi fantasy adventure of a young boy whose life changes forever when a mysterious visitor lands from nowhere into his backyard to warn him of an impending invasion.,adventure,scifi,0,
74235,City of Shadows,"In the same vein as Cain and Abel, here we have two brothers, one a renegade cop and the other a murderer with a taste for little boys. The brothers come to blows, from which only one can walk away.",scifi,crime,0,
31774,Two by Two: Overboard!,"Adrift on a flood, two misfit castaways struggle to reunite an unorthodox family, out-run a volcano, and negotiate a peace deal on a creaking Ark.",family,adventure,0,
7781,Biggles and the Night Witches,"James ""Biggles"" Bigglesworth ones again travels time to save the day.",action,adventure,0,
65385,Çok Uzak Fazla Yakin,Two art school students from different social groups fall in love. Guy is an idealist painter and woman is a photographer but they can't make this relationship work.,romance,Romance.,1,
49684,Dracula's Angel,Laura Randolph is on a quest to find her true love: Dracula.,horror,horror,1,
82441,Flood,"When a raging storm coincides with high seas it unleashes a colossal tidal surge, which travels mercilessly down England's East Coast and into the Thames Estuary. It is not a question of if, but when London floods.",thriller,disaster,0,
43572,Killer Popcorn,Orville is a movie geek the people of Henderson push too far. He snaps and goes on a strip mall killing spree like no suburb has ever seen.,fantasy,crime,0,
11584,Grizzly,"An eighteen-foot-tall grizzly bear terrorizes a state park, leaving it up to a Park Ranger to save the day.",adventure,horror,0,
72033,Her Broken Shadow,"A writer struggles to overcome a heinous crime she committed in her childhood. When a characters materializes, she questions reality and starts to dig up skeletons of her past to avoid a complete descent into insanity.",scifi,Mystery.,0,
12222,The Stream,"A long time ago... in the summer of 1981, a tragedy of epic proportions (a broken plastic bat) sends five friends on an epic adventure to the mall. All they have to do is follow The Stream and back.",adventure,adventure,1,
16896,War Eagles,"It's a ""parallel"" history interweaving Nazis, events happening at the time, and amazing inventions, with fictional, interesting characters.",adventure,scifi,0,
57290,Manalive,"In a house of disenchanted, disconnected renters, a new tenant stirs life in all of them... but is he who he seems?",mystery,mystery,1,
51049,Sirf 5 Din,"A supernatural horror film in which a woman attempts to help a man named Shanti an abuse victim, who he found chained up in a Lonavala bungalow .",horror,Horror.,1,
2455,Bravery,A abandonment story of kibbutz Saar-Hagolan in the Israeli Independence war.,action,drama,0,
72959,Minority Report,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",scifi,scifi,1,
43353,We Are the Flesh,"After wandering a ruined city for years in search of food and shelter, two siblings find their way into one of the last remaining buildings. Inside, they find a man who will make them a dangerous offer to survive the outside world.",fantasy,thriller,0,
31377,Little Shepherds,Depicts the lives of children of the coastal hills and pastures who work as shepherds from an early age to earn a living.,family,family,1,
87974,A Broken Ladder,Two detectives become heavily involved with a missing persons case when they believe the victim is linked to a prolific serial killer.,thriller,crime,0,
88504,Blacklight,"Travis Block is a government operative coming to terms with his shadowy past. When he discovers a plot targeting U.S. citizens, Block finds himself in the crosshairs of the FBI director he once helped protect.",thriller,Thriller,1,
59168,The Haunted Swing,"A town haunted by the Hill children - victims of a tragic house fire which claimed their lives a quarter of a century ago. Years later, the children still haunt their swing, located on the plot of land where their house once stood.",mystery,horror,0,
61412,No No Girl,"Eighty years ago, on the eve of war and incarceration, a Japanese American family buries a secret in their backyard garden. Three generations later, a clue is discovered- unearthing the trauma and truth of their historic past.",mystery,drama,0,
25778,The Pay Day,A broke and frustrated IT technician decides to embark on a one woman heist to steal valuable data worth millions on the black market.,crime,crime,1,
3116,Marshal,"Marshal is a medical crime thriller movie directed by Jai Raaja Singh and produced by Abhay Adaka. The movie cast includes Srikanth, Abhay, Megha Chowdhury and Rashmi are in the lead roles. Yaadagiri Varikuppala scored music.",action,crime,0,
73718,Panic in the City,An American agent is assigned to track down a renegade Soviet spy who is building an atomic device in Los Angeles and plans to destroy the city with it.,scifi,action,0,
38855,The Blue Umbrella,"In a small village when a little girl's prescious umbrella is stolen, things goes wrong for a greedy tea seller who was very much interested in buying that umbrella from her.",fantasy,Family,0,
14509,Journey of a Master,"The journey of a spiritual master from boyhood through to his rebellion against British Imperialism, resulting in his imprisonment followed by his career as a journalist, finally reaching self-actualization in the Himalayas",adventure,drama,0,
36103,The Invisibles,"A couple facing the end of marriage, when the husband starts to disappear. As he fades from existence he discovers a new world of people who have disappeared just like him.",fantasy,Fantasy.,1,
64335,Amor es amor,"Enrique Juarez is an up-and-coming Mexican Telenovela actor on the verge of becoming a leading man, that has to hide his true self in order to achieve stardom.",romance,drama,0,
21226,Coup de feu à l'aube,A crime was committed by the Trembleur band who specialized in jewelry theft. The Berlin police are on the trail of the mysterious leader. A policeman acts as a member of a rival band. The bandits are trapped in a suburban villa.,crime,crime,1,
43931,Encounter of the Spooky Kind,"A rickshaw driver's wife and his rich client are secret lovers, and they decide to get rid of him without being implicated, so they hire a powerful sorcerer to kill him, but the sorcerer's colleague intervenes to protect him.",fantasy,crime,0,
72320,Kingsglaive: Final Fantasy XV,"King Regis, who oversees the land of Lucis, commands his army of soldiers to protect the kingdom from the Niflheim empire's plans to steal the sacred crystal which gives Lucis its magic and power.",scifi,fantasy,0,
617,The Hideout,"Five thieves take refuge in cabin as distrust and greed stirs among the group, an infection erupts in the world outside and chaos ensues.",action,horror,0,
44926,The Guardian,"In a world teetering on the brink of self destruction, a mentally ill woman must discover her true purpose, and embrace her destiny. You can't run forever.",fantasy,fantasy,1,
83822,Don't Turn Out the Light,"A gang of escaped convicts take over a farmhouse and hold the woman living there hostage. It turns out that her husband is a cop, who among other things is in trouble because he has accidentally killed an innocent girl.",thriller,crime,0,
49791,The Seed,"What starts out as girls weekend away in the Mojave desert becomes a tale of horror, death and alien invasion.",horror,horror,1,
75390,Laws of the Universe Part 1,"University students, Ray, Anna, Tyler, Halle, and Eisuke are enjoying student life while chasing their dreams. However, they have a secret mission, to fight against invading Reptilians from outer space.",scifi,scifi,1,
82396,Kafka,"Kafka works during the day at an insurance company, where events lead him to discover a mysterious underground society with strange suppressive goals.",thriller,Mystery.,0,
72784,The Rover,"10 years after a global economic collapse, a hardened loner pursues the men who stole his only possession, his car. Along the way, he captures one of the thieves' brother, and the duo form an uneasy bond during the dangerous journey.",scifi,action,0,
60584,The Man from Headquarters,"A brilliant detective is trying to break up a notorious crime ring, using part of an intercepted message. While investigating, he meets a beautiful and mysterious countess.",mystery,Mystery.,1,
3898,Pros and Ex-Cons,"After completing their job, two ex-cons, are quickly informed that they have assassinated the wrong individual. With the stakes high they must quickly correct their mistake before covers are blown and innocent lives are lost.",action,crime,0,
8215,Bareuge salja,"Things get out of control when Doman, an eager and saintly traffic cop, is asked the play the role of the bank robber in a robbery intervention police training program.",action,crime,0,
64869,Women of the Prehistoric Planet,"A spaceship crashes upon an unexplored planet, and the rescuers sent to search for survivors discover that decades have passed due to time dilation.",romance,scifi,0,
54919,The Closed Door,Two writers contradict with each other's story about a closed door which is there in the host writer's flat. Things take a turn when the guest writer breaks the lock to see what is hidden inside,mystery,Mystery,1,
73229,Whitefire,"Ace Redfire seeks vengeance for his own betrayal. Armed with paid mercenaries and a mysterious Masked Huntress, Ace sets out on a quest for blood and will stop at nothing to reach his goal.",scifi,action,0,
12943,Deck of Cards,"The king of hearts has disappeared from the Kingdom of Cards, and the Joker and his friends set out on a quest to locate him, but there are other forces at play in the Kingdom, and someone might have an ace up their sleeve.",adventure,adventure,1,
6865,Memories of the Sword,"While in medieval Korea, a young girl sets out to revenge the betrayal and the death of her mother. But therefore she must face one of the most powerful men and warriors of the Goryo Dynasty.",action,action,1,
43442,Night of the Kings,"A young man is sent to ""La Maca"", a prison of Ivory Coast in the middle of the forest ruled by its prisoners. With the red moon rising, he is designated by the Boss to be the new ""Roman"" and must tell a story to the other prisoners.",fantasy,drama,0,
75086,Kung Fu Traveler 2,Southern Style Kung Fu was unsuccessful in defeating the invading enemy aliens. General Chen (Tiger Chen) has no choice but to be go back in time again to the late Qing Dynasty to find the master of Northern Style Kung Fu.,scifi,scifi,1,
80579,The Chittering,"A crack U.S. military squad is stalked through the forests of Eastern Europe by a 15th Century Weapon of Mass Destruction, accidentally released from its internment, designed to wreak havoc on the world.",scifi,horror,0,
26950,Sergil chez les filles,Inspector Sergil goes head to head with a ruthless gang of drug dealers.,crime,crime,1,
32778,Pengin haiwei,"A fourth-grader, Aoyama-kun, investigates the mysterious reason behind the sudden appearance of penguins in his village, which is somehow related to a power from a young woman working at a dental clinic.",family,mystery,0,
12245,Abominable,A supernatural thriller set in a remote town that is being terrorized by a Yeti.,adventure,horror,0,
30652,Jim Button and the Wild 13,"To protect Morrowland from another threat, Jim and Luke have to set off on a dangerous journey. On their adventure, Jim's most fervent wish might also come true: to find out the truth about his mysterious origins.",family,adventure,0,
31448,The Kid,A distraught mother abandons her baby boy. An unsuspecting tramp finds the child and cares for him. A father's love drives him to protect the kid.,family,family,1,
17643,Hector and the Search for Happiness,A psychiatrist searches the globe to find the secret of happiness.,adventure,adventure,1,
33922,Max Pinlig 3 - på Roskilde,In the third installment of Max pinlig he's trying to get to a festival but he has to get the ticket somewhere??,family,comedy,0,
50840,Spirit Halloween,"When a Halloween store opens in a deserted strip-mall, three friends, thinking they've outgrown trick or treating, decide to spend the night locked inside. But their night of spook-filled fun soon turns to outlandish survival.",horror,horror,1,
43124,My Father's Dragon,Elmer Elevator searches for a captive Dragon on Wild Island and finds much more than he could ever have anticipated.,fantasy,adventure,0,
5246,Anak ng bulkan,"A monstrous giant bird soars high across Manila and suburbs. Anak ng Bulkan was set in a remote volcanic island, tells of the friendship between a little boy named Bentoy (Ace York) and a giant bird named Goliat.",action,family,0,
20318,The Five Rules of Success,An enterprising ex-convict overcomes tragedy by designing a modern-day guide to success for a society that failed him.,crime,drama,0,
66806,The Fighting Shepherdess,A young woman fights to keep her Wyoming sheep ranch from being overrun and destroyed by cattle ranchers.,romance,Western,0,
14948,Survive,"When their plane crashes on a remote snow-covered mountain, Jane and Paul have to fight for their lives as the only remaining survivors. Together they embark on a harrowing journey out of the wilderness.",adventure,adventure,1,
2984,Rashtraputra,"Legendary film company, The Bombay Talkies Studios along with Kamini Dube, Bombay Talkies Foundation, Vishwa Sahitya Parishad, Aazaad Federation, World Literature Organization and filmmaker...                See full synopsis »",action,Unknown (synopsis does not provide enough information about the genre),0,
6169,Gun or Dance,"The film is an adventurous tale of discovery, merging the lives of 3 young adults on the path to truth and redemption.",action,adventure,0,
13999,Ondanondu Kaladalli,A mercernary sets out to assist a tribal chieftain to defeat the chieftain's brother who is now an opponent and an enemy.,adventure,action,0,
66788,Raped by an Angel 2: The Uniform Fan,A dentist obsessed with young women in various uniforms stalks two sisters. The oldest sister is romantically pursued by a thug that was just released from prison. The dentist also has the hots for her and the two paths eventually cross.,romance,Thriller,0,
35701,Untitled Ben 10 Project,"A feature film based on the TV show centered on Ben Tennyson, a boy who can transform into 10 different alien creatures with the help of a device called the Omnitrix.",family,scifi,0,
75612,Beneath,A marine salvager looking for the wreckage of a missing airliner becomes stranded inside a damaged submersible at the bottom of the deep ocean. What she finds there is more shocking and terrifying than anything she ever imagined.,scifi,horror,0,
5121,Foxtrap,"Private detective is hired by rich man to find his niece, who has disappeared while traveling in Europe.",action,mystery,0,
13471,The Rescue,A group of kids venture into enemy territory in an audacious attempt to rescue their Navy Seal fathers who were captured during a failed mission in North Korea.,adventure,action,0,
21538,The Missing Million,"A millionaire disappears after a blackmail attempt by criminal, The Panda. His sister tries to help the police find him and deal with an aftermath of murder and mystery.",crime,crime,1,
14482,Shaitan Mujrim,"A doctor tries to revive a dead corpse with his experiments. Thanks to his evil assistant, he creates a blood sucking devil. Can the protagonist stop this devil?",adventure,horror,0,
34099,108 Costuras,Mauricio and Reynaldo's friendship will be challenged by their dream of playing professional baseball.,family,drama,0,
78539,Numb,"In a post-apocalyptic world where society is controlled by a debilitating narcotic, one woman sets out to find her father, and to heal the wounds of her past.",scifi,scifi,1,
34476,Sinhaya,Weerasinghe is a tuition teacher and a guardian of 10 homeless children. They face a lot of financial problems until they find a magical watch which can make a person invisible. He uses this power to overcome their difficulties.,family,fantasy,0,
18033,Juggling Kittens,"Amid the backdrop of local and national tragedies, a directionless teacher and soon-to-be a father descends into the murky underbelly of an Arkansas town when a young student disappears.",crime,crime,1,
87882,[Cargo],A man wakes trapped inside a cargo container with only a cell phone and is given 24 hours by his kidnappers to raise ten million dollars in ransom or die.,thriller,thriller,1,
33017,Telefoni i një mëngjesi,"A journalist, receives a threatening phone call one morning for not publishing an article. After that, the pressure of colleagues, family and ex-girlfriend influence the decision he will make, which he wants to see through to the end.",family,Thriller,0,
39084,The Breath of Life,"In the word of glorious kingdoms of magic, there's a dark secret of a cursed nation. A young enchantress is haunted by this secret. To get her answers, she dares to go on a reckless adventure with a stranger fascinated by the same mystery.",fantasy,Fantasy,1,
9373,Slimed,An atheist park ranger and a bible salesman find themselves thrown into a slimy conspiracy that threatens to destroy not just the woods - but the entire world.,adventure,horror,0,
62933,Snow Falling on Cedars,"A Japanese-American fisherman is accused of killing his neighbor at sea. In the 1950s, race figures into the trial. So does reporter Ishmael.",mystery,crime,0,
27410,Pup School: Up in the Clouds,Pup School is back in session and this time the pup team take to the sky to learn all about the fluffy stuff that makes up clouds. Tag along for Pup School: Up In The Clouds.,family,family,1,
40567,4-gatsu no baka,This is film about the group drama that turns around mainly on a raccoon for 3 people.,fantasy,family,0,
33931,Naya Legend of the Golden Dolphin,This is an action film following the adventures of Naya The Golden Dolphin Princess and her mission to save the Earth.,family,adventure,0,
82054,White of the Eye,Somebody's killing rich married women in their homes - latest in a rich desert community outside Tucson. A married sound expert is prime suspect.,thriller,crime,0,
52349,Chamber of Horrors,"A man, believing he has killed his mistress, finds himself spending the night in a terrifying wax museum.",horror,Horror,1,
74844,Breeders,An alien travels to Earth on a meteorite and mates with humans to preserve its species and destroy humanity.,scifi,scifi,1,
